Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 1.907000000000000e+001,-2.668835472372723e-001,-3.351653253599634e-001,-3.490610318824466e-001
 1.908000000000000e+001,-2.680583419903668e-001,-3.348660097964165e-001,-3.490611522350024e-001
 1.909000000000000e+001,-2.691649374412077e-001,-3.345959408632870e-001,-3.490612639649952e-001
 1.910000000000000e+001,-2.701527101811113e-001,-3.343766804331132e-001,-3.490613672028513e-001
 1.911000000000000e+001,-2.709858469934243e-001,-3.342228267955960e-001,-3.490614585346663e-001
 1.912000000000000e+001,-2.716590162553306e-001,-3.341366060411040e-001,-3.490615371290132e-001
 1.913000000000000e+001,-2.721758711921166e-001,-3.341188953581156e-001,-3.490616031281883e-001
 1.914000000000000e+001,-2.725512756219123e-001,-3.341687822650468e-001,-3.490616576853778e-001
 1.915000000000000e+001,-2.728099090526361e-001,-3.342837832038699e-001,-3.490617025844157e-001
 1.916000000000000e+001,-2.729821631247561e-001,-3.344595245183175e-001,-3.490617397806528e-001
 1.917000000000000e+001,-2.731004662725108e-001,-3.346889801611819e-001,-3.490617673204839e-001
 1.918000000000000e+001,-2.731887894992541e-001,-3.349641106668715e-001,-3.490617936924680e-001
 1.919000000000000e+001,-2.732727080932607e-001,-3.352726256077923e-001,-3.490618157196024e-001
 1.920000000000000e+001,-2.733714764649972e-001,-3.355977558886516e-001,-3.490618330519703e-001
 1.921000000000000e+001,-2.735003351993414e-001,-3.359164275039395e-001,-3.490618444625852e-001
 1.922000000000000e+001,-2.736729828108026e-001,-3.361993165429631e-001,-3.490618478759452e-001
 1.923000000000000e+001,-2.739030333256868e-001,-3.364116908206125e-001,-3.490618404530470e-001
 1.924000000000000e+001,-2.742042622623645e-001,-3.365146009694702e-001,-3.490618187940454e-001
