Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightShoulder.SternoClavicularAxialRotation
 1.907000000000000e+001,-2.404573617377332e-001, 4.333494036153338e-001,-3.490729344969789e-001
 1.908000000000000e+001,-2.402304681650277e-001, 4.349548874096132e-001,-3.490730578706397e-001
 1.909000000000000e+001,-2.400248928613580e-001, 4.364645062502290e-001,-3.490731617359876e-001
 1.910000000000000e+001,-2.398746760272102e-001, 4.377994455783354e-001,-3.490732544674707e-001
 1.911000000000000e+001,-2.397853100796542e-001, 4.388938831382008e-001,-3.490733315516442e-001
 1.912000000000000e+001,-2.397518428561148e-001, 4.397331985221247e-001,-3.490733921026305e-001
 1.913000000000000e+001,-2.397680027208586e-001, 4.403229867436007e-001,-3.490734365705758e-001
 1.914000000000000e+001,-2.398221972050312e-001, 4.406894995034960e-001,-3.490734666082543e-001
 1.915000000000000e+001,-2.399005652104091e-001, 4.408709311930290e-001,-3.490734846206991e-001
 1.916000000000000e+001,-2.399935997467554e-001, 4.409096048298868e-001,-3.490734933518022e-001
 1.917000000000000e+001,-2.400724575185399e-001, 4.408398695424318e-001,-3.490734698822166e-001
 1.918000000000000e+001,-2.401841179193867e-001, 4.407084313408105e-001,-3.490734669200138e-001
 1.919000000000000e+001,-2.402990231811536e-001, 4.405392641942785e-001,-3.490734619919895e-001
 1.920000000000000e+001,-2.404091568230155e-001, 4.403593153193897e-001,-3.490734570665655e-001
 1.921000000000000e+001,-2.405064019684887e-001, 4.401942725392758e-001,-3.490734538915070e-001
 1.922000000000000e+001,-2.405836829015102e-001, 4.400680104545318e-001,-3.490734539503759e-001
 1.923000000000000e+001,-2.406350714643018e-001, 4.400008012688237e-001,-3.490734584043064e-001
 1.924000000000000e+001,-2.406568962777757e-001, 4.400091083070494e-001,-3.490734680541099e-001
 1.925000000000000e+001,-2.406488376647530e-001, 4.401075726513013e-001,-3.490734833660227e-001
 1.926000000000000e+001,-2.406142195880477e-001, 4.403091574916929e-001,-3.490735044204271e-001
 1.927000000000000e+001,-2.405605027260480e-001, 4.406211570540941e-001,-3.490735306377507e-001
 1.928000000000000e+001,-2.404994911644354e-001, 4.410399272424987e-001,-3.490735603609101e-001
 1.929000000000000e+001,-2.404463146763451e-001, 4.415470386668576e-001,-3.490735904444393e-001
 1.930000000000000e+001,-2.404177580994060e-001, 4.421060328961524e-001,-3.490736159675370e-001
 1.931000000000000e+001,-2.404301942765680e-001, 4.426613099242664e-001,-3.490736304035748e-001
 1.932000000000000e+001,-2.404954556377199e-001, 4.431456897271768e-001,-3.490736267226603e-001
 1.933000000000000e+001,-2.406146221282926e-001, 4.434969991584685e-001,-3.490735992797044e-001
 1.934000000000000e+001,-2.407739617159744e-001, 4.436755932887149e-001,-3.490735456839941e-001
 1.935000000000000e+001,-2.409463395183399e-001, 4.436759880706052e-001,-3.490734680657212e-001
 1.936000000000000e+001,-2.410978025900645e-001, 4.435270108084046e-001,-3.490733731068332e-001
 1.937000000000000e+001,-2.411968482783295e-001, 4.432778308151377e-001,-3.490732701248765e-001
 1.938000000000000e+001,-2.412223111366445e-001, 4.429773892281161e-001,-3.490731680764541e-001
 1.939000000000000e+001,-2.411682068012294e-001, 4.426592926403707e-001,-3.490730735024290e-001
 1.940000000000000e+001,-2.410446744290604e-001, 4.423385725709796e-001,-3.490729901446443e-001
 1.941000000000000e+001,-2.408721038378109e-001, 4.420180267080796e-001,-3.490729195130977e-001
 1.942000000000000e+001,-2.406718523576131e-001, 4.416954352241478e-001,-3.490728615976075e-001
 1.943000000000000e+001,-2.404623334726042e-001, 4.413665241674583e-001,-3.490728153774608e-001
 1.944000000000000e+001,-2.402605209292729e-001, 4.410257635158446e-001,-3.490727791132060e-001
 1.945000000000000e+001,-2.400818594051297e-001, 4.406664538327660e-001,-3.490727505732330e-001
 1.946000000000000e+001,-2.399379044477600e-001, 4.402815304885224e-001,-3.490727273944293e-001
 1.947000000000000e+001,-2.398356733511515e-001, 4.398672417292335e-001,-3.490727075011401e-001
 1.948000000000000e+001,-2.397793260539170e-001, 4.394266209631588e-001,-3.490726892953602e-001
 1.949000000000000e+001,-2.397721539760237e-001, 4.389687559548918e-001,-3.490726716012805e-001
 1.950000000000000e+001,-2.398169621115790e-001, 4.385049068980784e-001,-3.490726535533620e-001
 1.951000000000000e+001,-2.399135836091098e-001, 4.380445777806938e-001,-3.490726345139452e-001
 1.952000000000000e+001,-2.400549744516869e-001, 4.375946587981310e-001,-3.490726141116693e-001
 1.953000000000000e+001,-2.402278740555248e-001, 4.371630812736553e-001,-3.490725924540969e-001
 1.954000000000000e+001,-2.404176961385405e-001, 4.367633510815745e-001,-3.490725703107740e-001
 1.955000000000000e+001,-2.406085270977998e-001, 4.364140338834903e-001,-3.490725489955103e-001
 1.956000000000000e+001,-2.407803388577310e-001, 4.361326393424287e-001,-3.490725299619051e-001
 1.957000000000000e+001,-2.409128948850922e-001, 4.359293837943943e-001,-3.490725143817071e-001
 1.958000000000000e+001,-2.409929670500712e-001, 4.358049345729538e-001,-3.490725029049613e-001
 1.959000000000000e+001,-2.410170955881541e-001, 4.357513655437852e-001,-3.490724956668647e-001
 1.960000000000000e+001,-2.409910265705410e-001, 4.357541506246405e-001,-3.490724924802865e-001
 1.961000000000000e+001,-2.409304635877803e-001, 4.357943149358130e-001,-3.490724929466565e-001
 1.962000000000000e+001,-2.408629940708971e-001, 4.358500684068540e-001,-3.490724963435659e-001
 1.963000000000000e+001,-2.408270984044063e-001, 4.358968013146167e-001,-3.490725015278288e-001
 1.964000000000000e+001,-2.408679260134162e-001, 4.359049568330122e-001,-3.490725070266308e-001
 1.965000000000000e+001,-2.410331533752497e-001, 4.358376264036825e-001,-3.490725111690495e-001
 1.966000000000000e+001,-2.413682625881310e-001, 4.356519697321066e-001,-3.490725122043529e-001
 1.967000000000000e+001,-2.419099671507792e-001, 4.353051359481202e-001,-3.490725084639695e-001
 1.968000000000000e+001,-2.426823916919572e-001, 4.347604040289677e-001,-3.490724984425477e-001
 1.969000000000000e+001,-2.436995606550010e-001, 4.339912664100916e-001,-3.490724807682588e-001
 1.970000000000000e+001,-2.449686726429253e-001, 4.329847784359295e-001,-3.490724542759106e-001
 1.971000000000000e+001,-2.464857427790920e-001, 4.317456130042841e-001,-3.490724182802783e-001
 1.972000000000000e+001,-2.482244501181291e-001, 4.303022915071111e-001,-3.490723729392119e-001
 1.973000000000000e+001,-2.501272031443357e-001, 4.287156843482674e-001,-3.490723195907357e-001
 1.974000000000000e+001,-2.521073181350261e-001, 4.270801147895509e-001,-3.490722608021822e-001
 1.975000000000000e+001,-2.540671834294834e-001, 4.255023871316110e-001,-3.490721997347200e-001
 1.976000000000000e+001,-2.559226418018704e-001, 4.240673268578465e-001,-3.490721391065209e-001
 1.977000000000000e+001,-2.576143060739407e-001, 4.228187668455918e-001,-3.490720806699237e-001
 1.978000000000000e+001,-2.591047642156514e-001, 4.217642495486937e-001,-3.490720254196752e-001
 1.979000000000000e+001,-2.603747671745741e-001, 4.208883172716751e-001,-3.490719739722087e-001
 1.980000000000000e+001,-2.614219143667387e-001, 4.201645250373347e-001,-3.490719267791309e-001
 1.981000000000000e+001,-2.622593537541866e-001, 4.195649080341637e-001,-3.490718841596923e-001
 1.982000000000000e+001,-2.629138371154660e-001, 4.190652425467627e-001,-3.490718461697272e-001
 1.983000000000000e+001,-2.634215987864789e-001, 4.186462474296868e-001,-3.490718124595724e-001
 1.984000000000000e+001,-2.638222963806891e-001, 4.182941601090464e-001,-3.490717823259517e-001
 1.985000000000000e+001,-2.641543397827100e-001, 4.180014494698441e-001,-3.490717548877484e-001
 1.986000000000000e+001,-2.644522043821960e-001, 4.177659432024301e-001,-3.490717292237694e-001
 1.987000000000000e+001,-2.647435781218281e-001, 4.175899724095609e-001,-3.490717045309616e-001
 1.988000000000000e+001,-2.650481632100785e-001, 4.174815172064956e-001,-3.490716802875010e-001
 1.989000000000000e+001,-2.653810574075389e-001, 4.174545359279633e-001,-3.490716562239470e-001
 1.990000000000000e+001,-2.657565346008364e-001, 4.175256997719332e-001,-3.490716320950162e-001
 1.991000000000000e+001,-2.661867650325362e-001, 4.177097574892867e-001,-3.490716074562887e-001
 1.992000000000000e+001,-2.666774787936750e-001, 4.180162664771177e-001,-3.490715816050748e-001
 1.993000000000000e+001,-2.672253492572387e-001, 4.184466177639303e-001,-3.490715536747433e-001
 1.994000000000000e+001,-2.678172052382749e-001, 4.189885018470738e-001,-3.490715227469389e-001
 1.995000000000000e+001,-2.684277538951094e-001, 4.196071487529443e-001,-3.490714879623972e-001
 1.996000000000000e+001,-2.690150819159494e-001, 4.202360454197822e-001,-3.490714487332788e-001
 1.997000000000000e+001,-2.695154071869705e-001, 4.207690084319975e-001,-3.490714049836474e-001
 1.998000000000000e+001,-2.698333412283757e-001, 4.210543868945202e-001,-3.490713562703062e-001
 1.999000000000000e+001,-2.602191953377863e-001, 4.261424478629148e-001,-3.490689926114590e-001
 2.000000000000000e+001,-2.474478091750816e-001, 4.319528877428935e-001,-3.490658521554442e-001
 2.001000000000000e+001,-2.460416127041283e-001, 4.301616563153661e-001,-3.490658598766407e-001
 2.002000000000000e+001,-2.283394899992715e-001, 4.190695129717579e-001,-3.490658503857633e-001
 2.003000000000000e+001,-2.132440085125298e-001, 4.046285713033533e-001,-3.490658503877382e-001
 2.004000000000000e+001,-1.995826394008017e-001, 3.909358783185415e-001,-3.490658503880840e-001
 2.005000000000000e+001,-1.861937264502535e-001, 3.772889588463646e-001,-3.490658503888370e-001
 2.006000000000000e+001,-1.726967617784726e-001, 3.636236358276537e-001,-3.490658503893460e-001
 2.007000000000000e+001,-1.585773868440474e-001, 3.495704305090011e-001,-3.490658503904244e-001
 2.008000000000000e+001,-1.451966998142709e-001, 3.360455765209216e-001,-3.490658503914028e-001
 2.009000000000000e+001,-1.308906466960475e-001, 3.221202731148232e-001,-3.490658503919289e-001
 2.010000000000000e+001,-1.163131168945238e-001, 3.084272953894305e-001,-3.490658503926210e-001
 2.011000000000000e+001,-1.025650766411169e-001, 2.949017058484047e-001,-3.490658503942161e-001
 2.012000000000000e+001,-8.740019127566968e-002, 2.815179380961348e-001,-3.490658503951371e-001
 2.013000000000000e+001,-7.199257950411230e-002, 2.689809418637217e-001,-3.490658503949403e-001
 2.014000000000000e+001,-6.178552101084597e-002, 2.547684932732082e-001,-3.490658503953464e-001
 2.015000000000000e+001,-4.822335067864468e-002, 2.413499744816243e-001,-3.490658503968471e-001
 2.016000000000000e+001,-3.422921681684797e-002, 2.280720020807978e-001,-3.490658503961459e-001
 2.017000000000000e+001,-1.915250642436022e-002, 2.164628861851714e-001,-3.490658503972749e-001
 2.018000000000000e+001,-5.902764618245657e-003, 2.033285644877467e-001,-3.490658503974908e-001
 2.019000000000000e+001, 8.699714036875826e-003, 1.906880369043837e-001,-3.490658503966477e-001
 2.020000000000000e+001, 2.256225095182717e-002, 1.782510514426194e-001,-3.490658503955714e-001
 2.021000000000000e+001, 2.642526802951219e-002, 1.598993541203011e-001,-3.490658503952415e-001
 2.022000000000000e+001, 3.300698942708765e-002, 1.441284155907143e-001,-3.490658503962638e-001
 2.023000000000000e+001, 4.357536220329809e-002, 1.312070381133861e-001,-3.490658503963007e-001
 2.024000000000000e+001, 5.538711645084989e-002, 1.200516344286560e-001,-3.490658503958586e-001
 2.025000000000000e+001, 6.437809484658115e-002, 1.081536432436072e-001,-3.490658503953912e-001
