Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
 1.000000000000000e-002, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 1.490116119384766e-008, 0.000000000000000e+000, 0.000000000000000e+000
 2.000000000000000e-002, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.000000000000000e-002, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 4.000000000000000e-002, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 5.000000000000000e-002, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 6.000000000000000e-002, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.999999999999999e-002, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.999999999999999e-002, 5.235987755982983e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 9.000000000000000e-002, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 9.999999999999999e-002, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 1.100000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.200000000000000e-001, 5.235987755982992e-001,-1.134464013796313e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.300000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393194e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 1.400000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 1.500000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.600000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.700000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.800000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393194e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 1.900000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.000000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 2.100000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 2.200000000000000e-001, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.300000000000000e-001, 5.235987755982983e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.400000000000000e-001, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.500000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393194e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.600000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.700000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393194e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.800000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 2.900000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.000000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 3.100000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 4.440892098500626e-016, 0.000000000000000e+000
 3.200000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 3.300000000000000e-001, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.400000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.500000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.600000000000000e-001, 5.235987755982983e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 3.700000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 3.800000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 3.900000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 4.000000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 4.100000000000000e-001, 5.235987755982992e-001,-1.134464013796313e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 4.200000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 4.300000000000000e-001, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 4.400000000000000e-001, 5.235987755982983e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 4.500000000000000e-001, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 4.600000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 4.700000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 4.800000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 4.900000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 5.000000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 5.100000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 5.200000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 5.300000000000000e-001, 5.235987755982992e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 5.400000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 5.499999999999999e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 5.600000000000001e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 5.700000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 5.800000000000001e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 5.900000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 6.000000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.100000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.200000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 6.300000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 6.400000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 6.500000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.600000000000000e-001, 5.235987755982992e-001,-1.134464013796313e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 6.699999999999999e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.800000000000001e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 6.900000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 7.000000000000001e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.100000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.200000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393194e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.300000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.400000000000000e-001, 5.235987755982983e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 7.500000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.600000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 7.699999999999999e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 7.800000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 7.899999999999999e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 8.000000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 8.099999999999999e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 8.200000000000001e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 8.300000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000
 8.400000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 8.500000000000000e-001, 5.235987755982992e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
 8.600000000000000e-001, 5.235987755982987e-001,-1.134464013796315e+000, 0.000000000000000e+000, 2.094395102393196e+000, 0.000000000000000e+000, 2.220446049250313e-016, 0.000000000000000e+000
 8.700000000000000e-001, 5.235987755982987e-001,-1.134464013796314e+000, 0.000000000000000e+000, 2.094395102393195e+000, 0.000000000000000e+000,-2.220446049250313e-016, 0.000000000000000e+000
