Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 1.000000000000000e-002,-2.558756593971275e-001, 2.061668756132509e-001,-3.490658505494814e-001
 2.000000000000000e-002,-2.558593465965111e-001, 2.064794911145413e-001,-3.490658603842999e-001
 3.000000000000000e-002,-2.558486057914189e-001, 2.067808017651320e-001,-3.490658706722709e-001
 4.000000000000000e-002,-2.558452102753794e-001, 2.070619967437384e-001,-3.490658815355830e-001
 5.000000000000000e-002,-2.558519544188752e-001, 2.073117784415099e-001,-3.490658930561560e-001
 6.000000000000000e-002,-2.558730189931631e-001, 2.075197341837243e-001,-3.490659052245390e-001
 6.999999999999999e-002,-2.559129853723877e-001, 2.076765515113692e-001,-3.490659179143707e-001
 7.999999999999999e-002,-2.559784939140585e-001, 2.077788625818267e-001,-3.490659224279449e-001
 9.000000000000000e-002,-2.560623348144996e-001, 2.078300276200515e-001,-3.490659388005798e-001
 9.999999999999999e-002,-2.561673098218654e-001, 2.078395359168255e-001,-3.490659530641259e-001
 1.100000000000000e-001,-2.562935472461229e-001, 2.078184908034759e-001,-3.490659652069820e-001
 1.200000000000000e-001,-2.564420354665946e-001, 2.077772805822511e-001,-3.490659751878205e-001
 1.300000000000000e-001,-2.566131540868756e-001, 2.077252412379540e-001,-3.490659829420718e-001
 1.400000000000000e-001,-2.568049597338062e-001, 2.076705928841034e-001,-3.490659883176124e-001
 1.500000000000000e-001,-2.570131962207116e-001, 2.076200585791277e-001,-3.490659911149178e-001
 1.600000000000000e-001,-2.572330362777406e-001, 2.075788834011934e-001,-3.490659912005333e-001
 1.700000000000000e-001,-2.574598831227115e-001, 2.075508839400888e-001,-3.490659886980169e-001
 1.800000000000000e-001,-2.576878627184855e-001, 2.075377536867396e-001,-3.490659842490268e-001
 1.900000000000000e-001,-2.579087602110590e-001, 2.075383540600884e-001,-3.490659789474816e-001
 2.000000000000000e-001,-2.581139096386725e-001, 2.075491037634794e-001,-3.490659737944682e-001
 2.100000000000000e-001,-2.582965683687833e-001, 2.075650319001519e-001,-3.490659693665670e-001
 2.200000000000000e-001,-2.584516635713776e-001, 2.075806374664118e-001,-3.490659659400637e-001
 2.300000000000000e-001,-2.585742086138586e-001, 2.075906349907395e-001,-3.490659635474384e-001
 2.400000000000000e-001,-2.586591021366096e-001, 2.075907209708632e-001,-3.490659619546594e-001
 2.500000000000000e-001,-2.587021918412118e-001, 2.075781886847681e-001,-3.490659608176733e-001
 2.600000000000000e-001,-2.587007135507554e-001, 2.075519545644138e-001,-3.490659599152365e-001
 2.700000000000000e-001,-2.586529360020359e-001, 2.075116234720846e-001,-3.490659592138287e-001
 2.800000000000000e-001,-2.585581455074705e-001, 2.074566024497520e-001,-3.490659586962432e-001
 2.900000000000000e-001,-2.584166097298396e-001, 2.073864107155079e-001,-3.490659582183961e-001
 3.000000000000000e-001,-2.582286567186787e-001, 2.073012859496530e-001,-3.490659575662160e-001
 3.100000000000000e-001,-2.579939467702564e-001, 2.072021410016967e-001,-3.490659565573826e-001
 3.200000000000000e-001,-2.577131002227417e-001, 2.070908127377369e-001,-3.490659551690926e-001
 3.300000000000000e-001,-2.573908304801169e-001, 2.069707621514720e-001,-3.490659537228978e-001
 3.400000000000000e-001,-2.570361608075705e-001, 2.068465881869863e-001,-3.490659527254912e-001
 3.500000000000000e-001,-2.566596905156802e-001, 2.067225776796346e-001,-3.490659524350812e-001
 3.600000000000000e-001,-2.562733120140731e-001, 2.066025247589831e-001,-3.490659529685751e-001
 3.700000000000000e-001,-2.558923522580178e-001, 2.064908091395012e-001,-3.490659546771741e-001
 3.800000000000000e-001,-2.555352301223970e-001, 2.063927839962803e-001,-3.490659579197764e-001
 3.900000000000000e-001,-2.552204671883868e-001, 2.063140723959829e-001,-3.490659625428347e-001
 4.000000000000000e-001,-2.549639151377403e-001, 2.062594706569962e-001,-3.490659677030590e-001
 4.100000000000000e-001,-2.547771635588524e-001, 2.062317411318793e-001,-3.490659721009918e-001
 4.200000000000000e-001,-2.546669987735824e-001, 2.062309677505387e-001,-3.490659745401248e-001
 4.300000000000000e-001,-2.546355082413965e-001, 2.062552426441509e-001,-3.490659744398491e-001
 4.400000000000000e-001,-2.546803583188128e-001, 2.063016801871764e-001,-3.490659719250751e-001
 4.500000000000000e-001,-2.547947483181560e-001, 2.063661599098645e-001,-3.490659677008763e-001
 4.600000000000000e-001,-2.549666552836519e-001, 2.064424739085427e-001,-3.490659629125901e-001
 4.700000000000000e-001,-2.551785369738015e-001, 2.065224618972783e-001,-3.490659588103297e-001
 4.800000000000000e-001,-2.554095631725342e-001, 2.065970760808797e-001,-3.490659562607820e-001
 4.900000000000000e-001,-2.556395813862180e-001, 2.066577762833644e-001,-3.490659554254906e-001
 5.000000000000000e-001,-2.558516298036569e-001, 2.066981077390286e-001,-3.490659557881861e-001
 5.100000000000000e-001,-2.560329543697621e-001, 2.067150961105275e-001,-3.490659564881348e-001
 5.200000000000000e-001,-2.561768742631873e-001, 2.067100486698907e-001,-3.490659568288979e-001
 5.300000000000000e-001,-2.562846579850995e-001, 2.066883112679987e-001,-3.490659566824636e-001
 5.400000000000000e-001,-2.563649736943247e-001, 2.066576865648124e-001,-3.490659563912758e-001
 5.499999999999999e-001,-2.564313062927854e-001, 2.066262565200410e-001,-3.490659563598337e-001
 5.600000000000001e-001,-2.564985722647770e-001, 2.066006030311498e-001,-3.490659568330084e-001
 5.700000000000000e-001,-2.565788587788521e-001, 2.065845977567633e-001,-3.490659578332815e-001
 5.800000000000001e-001,-2.566782370315929e-001, 2.065787693074741e-001,-3.490659592007925e-001
 5.900000000000000e-001,-2.567975169976968e-001, 2.065808097691180e-001,-3.490659607631937e-001
 6.000000000000000e-001,-2.569352536818746e-001, 2.065874997072339e-001,-3.490659623904494e-001
 6.100000000000000e-001,-2.570894098632225e-001, 2.065967864396139e-001,-3.490659639182887e-001
 6.200000000000000e-001,-2.572572600777364e-001, 2.066080885517432e-001,-3.490659651768542e-001
 6.300000000000000e-001,-2.574346063327146e-001, 2.066206923581757e-001,-3.490659660779656e-001
 6.400000000000000e-001,-2.576151968892965e-001, 2.066323167119064e-001,-3.490659666220797e-001
 6.500000000000000e-001,-2.577911556680519e-001, 2.066395743850282e-001,-3.490659668595540e-001
 6.600000000000000e-001,-2.579537306802770e-001, 2.066396485600492e-001,-3.490659668609372e-001
 6.699999999999999e-001,-2.580935684486789e-001, 2.066311314800022e-001,-3.490659667079251e-001
 6.800000000000001e-001,-2.582013128735318e-001, 2.066130759324800e-001,-3.490659664710500e-001
 6.900000000000000e-001,-2.582687161938807e-001, 2.065834709073613e-001,-3.490659661438986e-001
 7.000000000000001e-001,-2.582894999537553e-001, 2.065389564050753e-001,-3.490659656148431e-001
 7.100000000000000e-001,-2.582594056462568e-001, 2.064760527658596e-001,-3.490659647352493e-001
 7.200000000000000e-001,-2.581756009262714e-001, 2.063927133433743e-001,-3.490659634292699e-001
 7.300000000000000e-001,-2.580370514998224e-001, 2.062891526110431e-001,-3.490659618394302e-001
 7.400000000000000e-001,-2.578463324195654e-001, 2.061678378456133e-001,-3.490659604676108e-001
 7.500000000000000e-001,-2.576114491395626e-001, 2.060331619241635e-001,-3.490659601705889e-001
 7.600000000000000e-001,-2.573474191034378e-001, 2.058913613464160e-001,-3.490659620266966e-001
 7.699999999999999e-001,-2.570759495000877e-001, 2.057500667695560e-001,-3.490659668490845e-001
 7.800000000000000e-001,-2.568198150644198e-001, 2.056164205317315e-001,-3.490659742958802e-001
 7.899999999999999e-001,-2.565954818420210e-001, 2.054952560277130e-001,-3.490659828939546e-001
 8.000000000000000e-001,-2.564113225051602e-001, 2.053894502435829e-001,-3.490659911898612e-001
 8.099999999999999e-001,-2.562701290585688e-001, 2.053011703106571e-001,-3.490659983025011e-001
 8.200000000000001e-001,-2.561705529061289e-001, 2.052320343628002e-001,-3.490660037261308e-001
 8.300000000000000e-001,-2.561077927547474e-001, 2.051825737093691e-001,-3.490660072782162e-001
 8.400000000000000e-001,-2.560756452244580e-001, 2.051519696467354e-001,-3.490660091209067e-001
 8.500000000000000e-001,-2.560690534879748e-001, 2.051383891780445e-001,-3.490660096352480e-001
 8.600000000000000e-001,-2.560850530149345e-001, 2.051395383293166e-001,-3.490660092515102e-001
 8.700000000000000e-001,-2.561212385491442e-001, 2.051527744382404e-001,-3.490660083425129e-001
 8.800000000000000e-001,-2.561736908353252e-001, 2.051753354261263e-001,-3.490660072136360e-001
 8.899999999999999e-001,-2.562373955039803e-001, 2.052054991112948e-001,-3.490660060649122e-001
 9.000000000000000e-001,-2.563084974116822e-001, 2.052434934424441e-001,-3.490660049071007e-001
 9.099999999999999e-001,-2.563851515584127e-001, 2.052906948481263e-001,-3.490660036234149e-001
 9.200000000000000e-001,-2.564667745709701e-001, 2.053478664863826e-001,-3.490660021419748e-001
 9.299999999999999e-001,-2.565534143057990e-001, 2.054139038373115e-001,-3.490660005091381e-001
 9.400000000000001e-001,-2.566451982360379e-001, 2.054855034322198e-001,-3.490659988317276e-001
 9.500000000000000e-001,-2.567382133319615e-001, 2.055586117995287e-001,-3.490660016488420e-001
 9.600000000000000e-001,-2.568369256321337e-001, 2.056263107455960e-001,-3.490659998706302e-001
 9.700000000000000e-001,-2.569344938598672e-001, 2.056851842847218e-001,-3.490659976464546e-001
 9.800000000000000e-001,-2.570273704341895e-001, 2.057323867179148e-001,-3.490659949449072e-001
 9.900000000000000e-001,-2.571135779887973e-001, 2.057681294347440e-001,-3.490659919092369e-001
 1.000000000000000e+000,-2.571935043767861e-001, 2.057954271432607e-001,-3.490659887367857e-001
