---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.UpdData = 3
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.FileName = "..\Examples\Plug-in-gait_Simple\Output\\GaitNormal_1-euler-leftlegtd.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile2.SubTalarEversion
1.540000000000000e+000 -2.679576750160062e-001 -9.797579085790931e-002 1.402349538408412e-002 1.415003540716879e-001 -3.085632617195193e-001 2.789016071223246e-002
1.550000000000000e+000 -2.768866526659223e-001 -9.122627754276591e-002 8.649538377358126e-003 1.521398009039792e-001 -3.049663817567672e-001 1.520856286936129e-002
1.560000000000000e+000 -2.853201486586312e-001 -8.350215922470006e-002 3.400743509160485e-003 1.632429012822654e-001 -2.996141261561985e-001 2.345465489247191e-003
1.570000000000000e+000 -2.930191206578395e-001 -7.476256237705337e-002 -1.633062081331423e-003 1.750927659576102e-001 -2.919639907881341e-001 -1.047519748947560e-002
1.580000000000000e+000 -2.996871631552877e-001 -6.507626464029714e-002 -6.349754433848018e-003 1.879995312064299e-001 -2.815492853303311e-001 -2.296669395235512e-002
1.590000000000000e+000 -3.050972779929953e-001 -5.457905144739472e-002 -1.071857122620869e-002 2.022473589819631e-001 -2.680703533917018e-001 -3.489236986642830e-002
1.600000000000000e+000 -3.090185842646042e-001 -4.344144972846542e-002 -1.471922914152889e-002 2.182324451673188e-001 -2.512382899672100e-001 -4.605418146247005e-002
1.610000000000000e+000 -3.112296685004166e-001 -3.188421802278585e-002 -1.834204837119751e-002 2.364107219741790e-001 -2.308365933531486e-001 -5.630168234016950e-002
1.620000000000000e+000 -3.115188497466001e-001 -2.016628371353169e-002 -2.157026328958997e-002 2.572773115787419e-001 -2.067428492794713e-001 -6.554666815473888e-002
1.630000000000000e+000 -3.096826906522167e-001 -8.559864169080944e-003 -2.437178674818846e-002 2.813415678064387e-001 -1.789543329360044e-001 -7.376742808571253e-002
1.640000000000000e+000 -3.055139856389189e-001 2.679650865573091e-003 -2.670136649092671e-002 3.091008505018019e-001 -1.476201255535796e-001 -8.099416725487957e-002
1.650000000000000e+000 -2.987853505152271e-001 1.334416196875576e-002 -2.850719336593184e-002 3.410102878106642e-001 -1.130829005378924e-001 -8.727829380213241e-002
1.660000000000000e+000 -2.892454011169590e-001 2.329749498310085e-002 -2.974537528403512e-002 3.774407326196393e-001 -7.592539504256629e-002 -9.264577395814971e-002
1.670000000000000e+000 -2.766444479893960e-001 3.248802642798521e-002 -3.041011312740463e-002 4.186210623808221e-001 -3.700639662182510e-002 -9.703615758434955e-002
1.680000000000000e+000 -2.607847524588973e-001 4.094070361315394e-002 -3.056814170959089e-002 4.645757062736076e-001 2.529708031212768e-003 -1.002551585918649e-001
1.690000000000000e+000 -2.415836655756578e-001 4.872858041061234e-002 -3.037776242564228e-002 5.150734992398081e-001 4.129319116058458e-002 -1.019710374951672e-001
1.700000000000000e+000 -2.191265574356902e-001 5.593077535449331e-002 -3.007434019090996e-002 5.696073019868727e-001 7.775200412683660e-002 -1.017741011734681e-001
1.710000000000000e+000 -1.936897662561203e-001 6.259424539796799e-002 -2.991970381633952e-002 6.274171002672421e-001 1.103810757733846e-001 -9.928482621191387e-002
1.720000000000000e+000 -1.657195670372215e-001 6.871378156722607e-002 -3.013467481791572e-002 6.875562310004001e-001 1.378157628208772e-001 -9.426320878225504e-002
1.730000000000000e+000 -1.357675334795177e-001 7.423234430569137e-002 -3.084487884400567e-002 7.489842559066237e-001 1.589785302965555e-001 -8.666850304770532e-002
1.740000000000000e+000 -1.044055884715492e-001 7.905773326571031e-002 -3.206060466903629e-002 8.106571765163914e-001 1.731799945653700e-001 -7.664966024364529e-002
