---- AnyBody Output File ---------------------------------
Study: Main.Studies.MarkerTracking
Operation: Main.Studies.MarkerTracking.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.UpdData = 3
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.FileName = "..\Examples\Plug-in-gait_Simple\Output\\GaitNormal_1-euler-trunk.txt"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.MarkerTracking.t
col1  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion
col11  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending
col12  Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
----------------------------------------------------------
Main.Studies.MarkerTracking.t Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxFlexion Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile1.SkullThoraxRotation
1.540000000000000e+000 -2.273098448566518e-001 9.254376631433353e-001 -3.168493284523892e-001 4.563953156112403e-002 8.708496957692913e-002 -1.493453153676293e-002 -1.049722340181047e-001 -2.459592466612027e-002 -9.618492088234025e-002 1.892358426546184e-003 -9.116878982907491e-002 2.052386382607123e-001
1.550000000000000e+000 -2.142555007050637e-001 9.241325649867934e-001 -3.160897924466181e-001 4.361590795986880e-002 9.309764582220659e-002 -1.555671955915249e-002 -1.030905727202219e-001 -1.885425220368648e-002 -9.867697956101384e-002 -2.137374398651812e-003 -9.123140544046605e-002 2.070528289168910e-001
1.560000000000000e+000 -2.009317195372993e-001 9.228914901455854e-001 -3.153064322946976e-001 4.085039402892211e-002 9.907192450337288e-002 -1.655981970653325e-002 -1.007031513959834e-001 -1.223096628903165e-002 -1.015133366848096e-001 -6.186131004619600e-003 -9.091996735535893e-002 2.083478077470287e-001
1.570000000000000e+000 -1.873306282351338e-001 9.217789426510969e-001 -3.145022380147717e-001 3.722942371669893e-002 1.047677094563426e-001 -1.799024909955553e-002 -9.777473597193351e-002 -4.633441610772477e-003 -1.046721159544112e-001 -1.028414939907032e-002 -9.014152868765141e-002 2.088826995376465e-001
1.580000000000000e+000 -1.735187398831329e-001 9.208644381950518e-001 -3.136842424939692e-001 3.270337955649873e-002 1.099230813889844e-001 -1.985230162898031e-002 -9.432279904889730e-002 3.937355618461458e-003 -1.080754009341084e-001 -1.440832973130554e-002 -8.883663651369668e-002 2.084758423301498e-001
1.590000000000000e+000 -1.595620481289218e-001 9.201957437088394e-001 -3.128583566789336e-001 2.729697968605477e-002 1.143671461045297e-001 -2.210764814381891e-002 -9.040617691802574e-002 1.340852950084512e-002 -1.116183386097011e-001 -1.849149348047616e-002 -8.700279922983445e-002 2.070842820640744e-001
1.600000000000000e+000 -1.455026742579556e-001 9.198169282365345e-001 -3.120295138206778e-001 2.107166478085240e-002 1.179456917266377e-001 -2.468812092298255e-002 -8.611593939084983e-002 2.367312442227089e-002 -1.151723714129832e-001 -2.245651422522375e-002 -8.466556620158437e-002 2.047145454791507e-001
1.610000000000000e+000 -1.313734756166141e-001 9.197607117744704e-001 -3.112009557700705e-001 1.414953978514473e-002 1.205499573171684e-001 -2.749209682880996e-002 -8.157839449245706e-002 3.455866330225561e-002 -1.185919903027040e-001 -2.622075361493484e-002 -8.189423863414008e-002 2.014490592653900e-001
1.620000000000000e+000 -1.172014464293395e-001 9.200461166736718e-001 -3.103731661020174e-001 6.710974186895560e-003 1.221258518955932e-001 -3.038754387417064e-002 -7.695019755563537e-002 4.582712417228792e-002 -1.217224468577011e-001 -2.971155011540273e-002 -7.879768208645206e-002 1.974453731783393e-001
1.630000000000000e+000 -1.030104231407961e-001 9.206770627918018e-001 -3.095431817703716e-001 -1.020154201932110e-003 1.226841363743916e-001 -3.322079820287454e-002 -7.240895401570770e-002 5.719184146031164e-002 -1.244139639871411e-001 -3.288402683311778e-002 -7.550953986964773e-002 1.929260138028903e-001
1.640000000000000e+000 -8.882381309660724e-002 9.216429317867469e-001 -3.087048906267154e-001 -8.800899587588569e-003 1.223048653591634e-001 -3.583787295831541e-002 -6.813286410409343e-002 6.834736277010269e-002 -1.265388474124627e-001 -3.573565188392714e-002 -7.216638754605194e-002 1.881568150139542e-001
1.650000000000000e+000 -7.466698859146093e-002 9.229210201472853e-001 -3.078500028870216e-001 -1.639963242025176e-002 1.211307039736693e-001 -3.811498536221829e-002 -6.427062788270761e-002 7.900582685428328e-002 -1.280045879768996e-001 -3.830901893091950e-002 -6.888551365797550e-002 1.834173812519992e-001
1.660000000000000e+000 -6.056842326203261e-002 9.244797520130393e-001 -3.069692009157660e-001 -2.362479188963025e-002 1.193502748007522e-001 -3.998675171921321e-002 -6.091085965204592e-002 8.892952543140224e-002 -1.287616413681026e-001 -4.067833537654629e-002 -6.575083767045625e-002 1.789679111020035e-001
1.670000000000000e+000 -4.655956746182927e-002 9.262819395748845e-001 -3.060538618869252e-001 -3.034628464522786e-002 1.171752155676011e-001 -4.145687180142819e-002 -5.807002228812914e-002 9.795876426766752e-002 -1.288039109722328e-001 -4.293270563839192e-002 -6.280011086076803e-002 1.750198610344878e-001
